	actual_label	prediction	abstract
172	Course	Course	recommend elmasri spg third homework schedul page cover research document cornel construct scienc week illeg clearli cours materi system x principl inform thesauru book polici sort break knowledg teach languag time edu class larg member roughli hour date hard smart refer index name amith one cs vector first offic design process set part entir includ perot singhal receiv textual topic cluster five follow spring avail retriev peopl latex semest queri pm want file model minut accept wednesday base late ullman concept return note prerequisit home aguilera advanc univers group press paper exampl grade solut comput depart type submiss use upson introduct databas read chapter work link fundament reserv thursday credit due april write tuesday relat
173	Non-Course	Non-Course	offic th home cs cornel vijay address edu vsm
174	Course	Course	grade comput object page cs hummert introduct scienc email offic statist program cours nov mwf phone system lab inform wisc oper day sid savitch home languag assign section edu due instructor hour text c rm walter
175	Non-Course	Non-Course	index batori comput page g research cs construct scale databas utc pattern gener pleas program transform typic system inform refin mani reflect note thu utexa home avion distribut includ web edu class group tar member titl softwar project relat algebra defin ssgrg welcom domain start manag
176	Non-Course	Non-Course	chen spare comput depart membership page cs cornel august scienc hall detect student system china wei home distribut academ network fault tsinghua group interest degre weichen
177	Course	Course	bibliographi syllabu homework research cs introduct semest gener long ordinari program latter cours materi read execut specif system consist automat literatur given kind languag assign class compil paper problem orient
178	Non-Course	Non-Course	topic interest
179	Non-Course	Non-Course	screen comput current upson page document cs cornel databas scienc theori world administr offic ny program parallel implement fax system bs home distribut wfinger network may web global univers fault commerci wide search julian project assist recent
180	Non-Course	Non-Course	comput depart mateev juli cs cornel hall scienc nikolay
181	Non-Course	Non-Course	page home jia wang
182	Course	Course	index comput quarter page cs address scienc fall kushmericknick cse read cours artifici machin select sieg intellig resourc friedmanfriedman weldweld messag question assign outlin class ai mail topic build exam
183	Non-Course	Non-Course	page home deyu
184	Non-Course	Non-Course	gallagh suzi
185	Course	Course	mayb homework research program cours flexibl could inform supercomput uninterest pertain teach uniform edu hour text year meet chose energi emphasi sens would cs requir offic parallel select content washington sieg either anderson result assign may section project topic major exam start list spring plu latex theori dvi special model choic note nice smpc paper taught consid comput syllabu introduct gener cse comment look other art happi work influenc algorithm due correct april relat howev interest lectur
186	Course	Course	fail page normal research cover scienc week student disturb program cours fortran discov particular quota cheat techniqu non inform dorm consult knowledg tick basic languag messag go time edu class school structur hour softwar elementari text solv gradesheet everi campu room descript one noland instruct help cs cae run offic statist lab via relev learn either contact includ come question assign configur section see good mail topic weekli major exercis exam start simpl follow engin outsid pm assum get specif wednesday wisc programm note four home print web done instructor emerg wide taught onlin http rm except pointer solut import night comput depart jeff use syllabu octob lampert prior introduct st www way intend tri wait click experi read worth understand vectra phone approxim littl work hand contribut anyth credit open friday algorithm due keyword write howev interest syntax problem primarili lectur
187	Course	Course	provid grade comput depart wisconsin name use wf r page dept cs jfink databas scienc account suhui fall desautel semest end explor mw cae offic ratliff cours compani without announc phone bockrath abandon set wisc link tsioli home tr ashraf jherro origin differ excel mf section web ta edu site jyothi class univers leav kelli madison keyword hour search geeri ed cool e enorm w agupta list
188	Non-Course	Non-Course	project home page pavel welcom nuprl tire invit place
189	Non-Course	Non-Course	julia page home
190	Non-Course	Non-Course	mathemat homepag wealth two program sinc plug todd page teach cs section fall inform contain
191	Non-Course	Non-Course	safeti comput depart page cs scienc kepart uc student b program seattl interact washington describ inform graduat includ academ web edu univers java human interest kurt recent
192	Course	Course	profici women electron sever grad activ download homework schedul page handl later g document address scienc cover construct week hint student program cours materi yanni begin system easi desk cheat entranc inform classnam anoth book graduat function thing polici chin zhang absolut choos must addit state necessari languag go edu class town html stodder debug hour chemistri pr gdb text suffici tell top convey place call tba descript room show one help would cs requir capabl run email offic statist news max take count nd extern lab septemb opaqu david style includ question assign etc may section pascal cchin project compil topic need situat major facet behav becom exam list five find follow dewitt key goal avail structuresfal edit intern demonstr account end suzan semest pleas pm cycl easili th accept floor specif handout give also late unawar wisc superfici midterm note prerequisit four obey home best j user univers group present clariti taught http paper build except away input develop grade comput depart sunday govern use header code modular introduct studi valu www fall gener inputfil readi assig chang doit experi read ioannidi suppli machin announc phone appear data vi work detail still extra weiz photo form thursday friday ta algorithm aspect copi correct previou incorpor howev femal tuesday possibl mention interest problem goto c lectur
193	Course	Course	find descript use instruct earn page practic cs studi tabl practicum student internetwork cours get interact comment system content take offcial signific inform work link choos distribut basic rang go web aspect complex varieti project vogel interest offer develop simpl
194	Non-Course	Non-Course	server person chuck inc home page walbourn web locat
195	Non-Course	Non-Course	ching hu
196	Non-Course	Non-Course	solut spring germani comput field activ current page expect cs studi scienc box address run moment past complet cse program sgberg implement particular washington sieg inform finger work home pictur bachelor fals print stefan edu univers indiana honor share format softwar project interest comparison qual
197	Course	Course	meet solut import tutori homework avail quarter page research cs dead document offic cse program sent read cours implement winter file handout washington inform elim chamber home includ languag assign sampl web edu found leon class hour mail vortex vass compil interest year refer cecil list
198	Non-Course	Non-Course	luxu xue comput depart austin page dept cs studi scienc www area texa compani system china inform graduat contact work utexa home languag network live edu class tsinghua lu ieee sigir univ campu
199	Non-Course	Non-Course	softbal comput depart richard box home engin overview pictur page washington cs research scienc segal edu univers
200	Non-Course	Non-Course	comput depart summari wisconsin italian page research cs databas scienc movi cultur satish phone wisc chandra home languag edu univers madison interest assist nostalgia log
201	Course	Non-Course	page home cse
202	Non-Course	Non-Course	jignesh page home
203	Non-Course	Non-Course	comput activ schedul instruct page research cs cornel document symp pleas sp hpam program read file technic meiko von system inform oper berkeley contact detail risc net spec distribut coordin includ languag messag prototyp site commun architectur cost overlap packag see softwar project compil paper interest know becom eicken
204	Non-Course	Non-Course	shubu page home mukherje
205	Course	Course	provid electron access current page cover cornel august scienc modern clearli program cours materi system simpli hardcopi techniqu inform browser polici conot consult applic teach rang languag dynam go quicksort edu class match person date hour voskuhl transfer appl facil dylan tba two name one well cs final onto requir capabl background email offic b take sit lab earli either learn environ come introductori assign site imper immedi see good topic wherea major paradigm exercis happen contain random free follow local goal object complet pm want info reach accept held handout prelim late concept inherit skill home arithmet recurs web server midnight matter focus memori exampl develop mac grade solut comput depart check use staff joint upson introduct studi www fall pattern read evalu implement mutabl textbook number due java public correct write problem orient period
206	Non-Course	Non-Course	trier comput activ industri bibliographi wisconsin engin articl logic multimedia help page dept research cs intern databas scienc garfield asha competit email offic program master protocol ps system data inform wisc olap warn link net home madra sourc infrastructur initi technolog network edu univers larg server confer madison endow person amit mail dec softwar mumbai interest utah onlin relat bookmark mdd
207	Course	Course	spring depart comput wisconsin miller schedul secur march cs februari requir scienc internet imag week wood offic file phone system monday wisc david break pictur assign written edu univers class bart madison april hour livni
208	Non-Course	Non-Course	alan homepag visit comput depart austin page research cs haizhou scienc institut texa mathemat optim student jan bs inform ms compuer contact utexa zhou home aid algorithm univers complex tsinghua confer group sinc focus head interest israel hai vlsi campu
209	Non-Course	Non-Course	room comput depart engin wa page research cs scienc box student offic alec system washington nw lab oper work home includ network edu univers wolman scalabl project interest cambridg aug recent
210	Course	Course	grade spring protect comput two summari solut team use variou schedul well suggest secur research cs document requir scienc hall cover discuss pm first intend offic involv info read file cours implement particip system design count list desk experiment report appoint macc relev oper choos distribut includ suno advanc assign prototyp compon class second instead present hour project topic tuesday paper text make major problem theme propos exam lectur
211	Non-Course	Non-Course	scientist descript comput depart check usa new overview engin shorter would cs introduct peopl scienc box region ideal run info chang parallel program walk without fortran machin washington base via inform modifi acknowledg browser concept small detail work higher line conclus languag etc autumn suitabl scientif sampl edu univers zpl web uw member group project write direct compil relat futur
212	Non-Course	Non-Course	phd colleg comput logic avail austin page postal expect cs research scienc msc student offic program fax ut inform librari natur utexa link home commonsens edu univers interest onlin hudson c main nonmonoton texa
213	Course	Course	current fail page normal research cover scienc three dissert week gareth disturb program cours fortran discov particular cheat techniqu non inform appoint dorm consult bestor must languag messag go time edu class structur hour softwar text gradesheet everi campu descript curv help cs final cae run offic statist monday lab via relev learn includ come question assign section see good mail topic weekli major exercis exam start follow outsid februari pm get specif wednesday wisc programm home psycholog web instructor emerg wide seven taught onlin http rm except pointer perform grade import night comput depart solut use mid st www way intend tri wait click fri read worth understand vectra phone approxim work hand contribut anyth open friday algorithm due elig keyword april write pg howev algebra interest syntax problem primarili lectur
214	Non-Course	Non-Course	comput overview page research cs conduct symposium simultan affair washington still jlo home edu architectur project maintain multithread list
215	Course	Course	activ new homework page hypermedia document scienc program cours winter mind inform especi miscellan messag edu class hour ben tip help cs final world offic washington lab engr word item send assign may webmast summer see short major test welcom exam offer keep spring engin avail updat info board copyright bounti midterm home web univers wide raini slide degre mac solut comput depart check syllabu static cse click earlier comment art textbook autumn previou search relat problem c
216	Non-Course	Course	karavan karen
217	Non-Course	Non-Course	meet depart comput austin page research cs entertain scienc internet rosett world huiqun student program taylor acm liu tx design hqliu inform hi contact utexa chines home languag wong ph web edu univers site unix campu last societi group giant search e exampl texa guid
218	Course	Course	spring comput formal method chief page cs world backup program examin pair qed interact cours taylor select system foundat report tool via specifi mani includ oral differ assign web instructor class galoi html good project e exampl phl blurb
219	Non-Course	Non-Course	comput depart serial summari current engin wisconsin watson austin instruct page research cs address scienc transact educ effici sohi symposium multiscalar offic gurindar program ordinari parallel center fax system design report wisc pilani india home target electr distribut applic languag j technolog ph guri edu univers architectur effort confer group department madison april professor sequenti focus memori interest order bulk investig perform
220	Non-Course	Non-Course	group softwar project direct paper multimedia zeno research cornel peopl mission curricula
221	Non-Course	Non-Course	
222	Non-Course	Non-Course	homepag old comput depart millett person pictur lynett cs cornel scienc inform
223	Non-Course	Non-Course	comput depart summari wisconsin use one secur page creat research cs well scienc eric mathemat effici automata appli transmiss info click bach also inform wisc theoret berkeley home vita number edu univers complex error press professor algebra interest w conf
224	Non-Course	Non-Course	comput depart tutori usa engin research cs hall scienc springer box august dissert respons program archiv fax system design washington also gu f brian curriculum link home kaleidoscop anyon applic academ languag advanc edu univers imper previou lopez topic interest orient bologna constraint
225	Non-Course	Non-Course	comput current depart usa engin page research cs fr scienc side cours understand system washington take travi work craig mechan home time edu univers project interest cach
226	Non-Course	Course	invers wisconsin new page cover research construct scienc navig dissert educ gareth administr student program cours fortran system optic intellig techniqu non inform librari bestor knowledg rigid basic languag teach massey edu honor robot school structur posit elementari point solv one instruct cs requir graphic minim artifici restrict lab learn scene unknown section error instead project major e welcom simpl spring engin fr imag assum model base wisc given home advanc multipl web univers done perspect duti group madison titl wide assist http taught pointer depart comput type essenti use prior introduct www explor intend experi dyer machin wiscinfo littl survey data credit sc algorithm dacc keyword algebra interest problem vision orient
227	Non-Course	Non-Course	dan dglaser html move home http page million
228	Non-Course	Non-Course	homepag comput brad use page would cs scienc seminar athlet duan probabl thayer model system packer mclaughlin oper link much home thec advanc network may intro uw web jazz neglect search possibl interest welcom
229	Non-Course	Non-Course	descript visit comput depart level wisconsin one staff help potenti page expand intern cs research request scienc internet susan area educ newsgroup administr appli calcari read divis system foundat report via inform spent wisc natur graduat work reloc addit home includ best scout network scal open may time web edu multipl site backbon nation univers uw group madison servic present project topic sinc gather discoveri devot assist interest orient year list
230	Non-Course	Non-Course	kunen page home ken
231	Non-Course	Non-Course	asynchron fpga comput current depart engin research cs fr scienc scott board rapid rout system washington also simul pin applic hardwar assign vita prototyp edu univers hauck embed project interest chinook
232	Course	Non-Course	provid sever current new phase page normal document construct enough readabl administr student program cours boe technic interact system x realist primari addit necessari languag teach plan edu class larg member softwar head organ control meet descript one statu cs specialist portfolio first offic design washington exist sieg process set learn natur includ assign embed track ensur project role topic test issu industri session engin updat respons analysi augment deliver specif also home expertis act commun duti group clariti assist exampl safeti essenti use studi mainten creation cse chang latter implement work due outlin howev professor regular leveson success manag
233	Non-Course	Non-Course	find visit grad comput depart engin wa url page girl cs scienc offic info seattl bam quot phone look washington sieg friend visitor locat finger linguist number web edu univers site michalowski person favorit mail search guestbook interest artist worst pgp year
234	Course	Course	meet solut comput tutor syllabu noland use publish object stuff page cs scienc gener pleas email offic statist chang info program archiv phone handout lab wisc david link polici academ assign may section ta edu instructor uncomfort melski softwar hour oct walter dave list
235	Course	Course	beam spring comput depart engin novemb homework johnson cs eeb scienc fall loew pm cse offic b cours mwf phone washington nowitz sieg modifi midterm po paul thursday assign sampl section web edu univers class instructor previou ruzzo hour leveson karp
236	Non-Course	Non-Course	jonathan page home swartz
237	Non-Course	Course	depart schedul page cs back www internet pm viru offic info b model mwf held bockrath system support simul condor wisc word home distribut nathan neat section anyway go edu hour project onlin
238	Non-Course	Non-Course	califf mari
239	Non-Course	Non-Course	depart comput wisconsin page cs scienc csashi student chandrasekaran vm septemb wisc univeristi home hill edu univers madison dec project sashikanth
240	Non-Course	Non-Course	phd depart comput current field wisconsin engin neuropros incomplet voic page research cs umass august scienc oren internet databas softbot effici move offic program indic repli seattl understand center autonom aaai fax without washington sieg intellig inform learn relev locat innov home knowledg terranc multipl web edu individu univers algorithm etzioni group robot servic high white softwar food wide repositori gather greg statlib agent law discoveri juli ai contain
241	Non-Course	Non-Course	texa homepag studi comput utexa depart taylor engin voic austin j cs univers aruna scienc fall lectur
242	Non-Course	Non-Course	user note ask link project relat altavista page cornel reason nuprl cs introduct document class
243	Non-Course	Non-Course	version homepag kang access comput engin page construct korean cs cornel final scienc graphic www studi eric click get meng system bs also resum inform soon camera still home love may web jazz class korea java project kwan abstract interest view welcom degre shim
244	Non-Course	Non-Course	page utc cad home
245	Non-Course	Non-Course	dean url
246	Non-Course	Non-Course	icpr comput two viewpoint object handl prior distort imag extens toward transform base principl septemb camera knowledg transit morph varieti geometri structur project interpol howev interest view effect simpl
247	Course	Course	sept solut comput object page cs introduct scienc email offic statist program th cours nov phone system csm lab inform wisc oper day savitch home languag assign section edu due quizz hour toni silva text dsilva c rm walter lec
248	Non-Course	Non-Course	wisc note madison comput depart marko home wisconsin assist page construct research cs scienc edu univers
249	Non-Course	Non-Course	comput continu depart activ jeff page research mathemat background student fluid satish system seek thesi postscript work mechan dynam scientif posit interest propos
250	Non-Course	Non-Course	aviat comput engin wa page dept construct cs scienc skate movi offic artifici cours himanshu seattl phone system design washington sieg take intellig digit nautiy finger home edu univers heavi
251	Non-Course	Non-Course	follow comput walkthru daili page graphic imag info look contact among work link hey laboratori j plan lot aspect public wide project interest corner
252	Non-Course	Non-Course	austin research laboratori network
253	Non-Course	Non-Course	
254	Non-Course	Non-Course	lie phd comput depart engin wa octob runtim research cs scienc box offic program parallel seattl wilson system washington sieg hsieh oper postdoc electr laboratori languag weihl whsieh edu univers receiv architectur school person project compil interest spin advisor c
255	Non-Course	Non-Course	bruce donald
256	Non-Course	Non-Course	extract synchron comput depart anindya horu multimedia upson march dept practic cs cornel research scienc focu respons practicum parallel experi flexibl system design take oper real think tr distribut best teach technolog global commun reliabl video group pass see project vogel cluster interest major princpl eicken werner robbert recent
257	Non-Course	Non-Course	spring access comput name use quarter came multimedia upson stuff dept research cs cornel deliveri scienc manipul internet fall imag stanford membership indian first offic flavour program rosen predecessor look system sequenc interpret support data set imagefram navin motif oper classroom work initi languag script ta class sharma video group replay filenam putimageincanva conferenc sitn deploy mode stream lectur
258	Non-Course	Non-Course	page home kristin
259	Non-Course	Non-Course	homepag depart comput kazushi superhighway page construct cs cornel peopl scienc tri student cours get worth inform assign html kota interest kaz start
260	Non-Course	Non-Course	local comput depart wisconsin avail page cs scienc sohi multiscalar world technic inform wisc home edu univers architectur group wide softwar project relat interest
261	Non-Course	Non-Course	contact ctkwok leisur codi home kwok page washington cs may welcom edu inform
262	Non-Course	Non-Course	comput vol engin miller construct intern cs research institut scienc chair mathemat medal academi board program senat fellow washington lectur art faculti oper advanc profession babbag edu univers complex class societi member present dick professor fulkerson plenum distinguish perfect pp karp manag
