	actual_label	prediction	terms
111	Non-Course	Non-Course	vdl program microsoft research class contain languag c professor construct austin call thu counter work follow far specif draft postal pm compil requir usa exam control padgett driver use window powerpoint cs devic ut pc k file dissert domain comput specifi lpm email softwar contact tay b design depart texa current utexa postscript environ scienc j fax edu tx mail
112	Non-Course	Non-Course	output display viewpoint research c data linear construct charl make home paul area work connect siggraph hibbard base macc bradley lo well way flow bill stereo machin use map point dc ut k jain approach street algorithm ieee vi j scienc synthes co cad synthesi progress rosenfeld rochest societi view program acquisit scientif question proc professor wisconsin e link call implement rang ph period sequenc f cours allmen toward visual shah simplifi motion recent understand cs set spring conf vita press brian abstract yu depart w stewart chang info univers fax correct th kyro r finger basi bookmark input move contour explor intellig artifici main cvpr leader site scene viewer madison uw requir control imag dyer type juli represent problem introduct center page fall interest develop maryland correspond vol lattic b wisc find non model steve dayton bestor mail autom seitz track boston video order nd irregular advanc morgan com v take taught usa int gareth group l n time trace workshop robot comput vision kjell frame space current li user rpi interpol satellit camera edu ed connectionist system p west
113	Non-Course	Non-Course	niko page home
114	Non-Course	Non-Course	writeup graph pure access languag cecil data mvi databas link hello present html check c also home staff thu irregular http department www vass short ne deystvov realli uw compil lab expand slide washington use zpl page recent join member cs paper file k variou mosaic document handl overview relat write ncsa download russian vortex project href depart cool room design li orient person web edu qual system visitor cse
115	Non-Course	Non-Course	program distribut apt c oper data tk databas construct photo market hung field job rivl java ny webpaint wen cornel atlanta taiwan window graphic resum page network interest understand cs paper ut habit bowl develop address plan comput vision still email etc softwar multimedia ea ithaca b project meng li final whkao tom scienc tcl univers web edu nation system background mail
116	Non-Course	Non-Course	r recommend biograph research professor austin improv activ electr read cours welcom inform page cs ut address adjunct comput greg contact depart texa utexa suggest scienc info univers edu engin lavend
117	Non-Course	Non-Course	program school languag professor wisconsin bs year wi home st click work section keep todd teach madison ohio ms case turnidg student oct fri time kent cs ut comput wisc depart li scienc milton w univers edu hold dayton studi
118	Course	Non-Course	cs page home
119	Non-Course	Non-Course	divis program author marathon utc research wednesday micheal finger phone hewett austin year call home visit nd click sawada summer locat learn taylor educ competit tokuda acm collegi hour hi student januari contest time page fall interest bowl cs favorit ut address spring comput motorola grad ai email stanford tay wahl b download hall depart texa jun number offic li finish utexa scienc phd univers web engin edu p nation fax mail view tx
120	Course	Non-Course	cs spring page home
121	Non-Course	Non-Course	finger phone research access professor logic austin benjamin explor intellig home detail tour ph base teach build topic inform group represent use expert map page fall interest qsim cs paper ut robot spring describ plan comput email press softwar agent contact consider b algorithm depart texa commonsens accomplish li reason bjk kuiper utexa world model scienc j info univers edu fax mit mail
122	Non-Course	Non-Course	zuckerman david
123	Course	Course	phone wednesday ask class comp lead home week discuss taylor base descript cover text newsgroup use session schedul ut monday lectur concept ta misc instructor download texa porter door room welch assign scienc get web format news program link section solut homepag nov hope help cours special test inform slide might thursday cs file dell sheet bruce ai mac faq programm desk utexa postscript import server info gener materi th csp mon parallel access check turbo note menu nimar midterm ii length topic exam need hour ansi tp page interest tutori avail fj feel email resolutio tue lang mail addendum glad dwip languag html pai send click borland review follow iso articl post take pm lab last maintain group time unabl stuff option comput decemb dr prolog pascal relat hr today hall number offic li someon total held edu theori p
124	Non-Course	Non-Course	display research data home incorpor work larri support lo way use map ut approach softwar scott pre j scienc phd professor wisconsin magazin link e angel st ph special technolog test inform form level larg expert integr recent understand cs geograph ai u depart augment w chang info univers fax journal metaphor dept logic databas wi reflex intellig artifici madison heterogen control exam represent center page interest develop wisc organiz design june non model implic chuck dayton mail contain travi deduct focus last group manag comput project current li summari edu system west
125	Non-Course	Non-Course	thing program apt search china wang magazin link austin prose thought e check call home st detail univ rock ph work homepag one list return read porsch take well cours welcom inform sea tsinghua unix l use time page fine cs pc ut word know comput pictur write surf design depart texa find world li break chuanjun get scienc chang end enjoy info univers web tx p lot pku
126	Course	Course	graduat program integ c linear wisconsin offer cours inform flow method theori larg last mp l januari michael page fall network mangasarian cs ut variou spring comput nonlinear instructor wisc algorithm ferri li semest info gener spars system
127	Non-Course	Non-Course	david alma research music school duoton link home hero sean siggraph academ main site brad past jonathan neat uw acm stollnitz imag joanna fun hi evan l york washington graphic salesin biolog page froggi interest cs ut comput grad feminist jpower women cool li j scienc divers mater edu ed h west color
128	Non-Course	Non-Course	distribut apt class oper carpet home click summer homepag java ny specif gc seena reduct jpeg degre post viewer cours cornel welcom inform student york graphic fall cs ut k tech spring eng taken comput kerala softwar multimedia ithaca b project algorithm depart current li june colloqium india postscript model scienc practicum see info univers edu engin anim system hoca dept
129	Non-Course	Non-Course	program bilkent logic erdem e austin home area homepag learn cognit esra postal topic usa inform student represent machin interest cs ut turkey comput contact b depart texa reason non utexa scienc info univers edu engin theori fax tx mail
130	Non-Course	Non-Course	graduat program new parallel news research class wa technic circa construct link newslett associ progress click staff univ ph profession karp local half list undergradu intel cours uw impact technolog build lab inform exam peopl talk acm student box mbone washington contest time page cs schedul ut includ master medal comput overview colloquia full desktop affili mural laboratori abstract region project depart li final scienc info univers web engin edu webmast steam nation fax visitor cse
131	Non-Course	Non-Course	rong com
132	Non-Course	Non-Course	big prism finger phone parallel forum research isbn linear wisconsin intend lederman html e wi order also home http huss area univ st www wind keep work mpi editor tar statist madison draft cover steven build tunnel inform standard algebra ongo use page dept interest avail cs ut includ file comput document refer press relat wisc project offic li compress postscript get scienc w info fax web edu would mit dayton mail
133	Non-Course	Non-Course	ut art souther
134	Non-Course	Non-Course	name page phone hummert sid cs offic li postscript sidney j click go edu email mail wisc
135	Non-Course	Non-Course	thing class c literatur year also home guy area work marvel huang watch four pay think editor intel life cornel part happili ut street run found self get scienc spectrum program music oper career island mani solut listen cours steven though involv mean anoth art grade tang master set bruce u internet land univers lego made love check field read wen calvin linux taiwan page network interest face resumé practic segreg age write compat szu design find channel model enter ship name truth graduat sound thu railroad let hunt welcom unix graphic time audio asid comput dr highli unabashedli project li live engin system
136	Non-Course	Non-Course	meghan brien
137	Non-Course	Non-Course	merl phone research c speed data storag work area second taylor support kaohsiung intel director acm ibm mitsubishi ut tech committe placement kandlur harrick may nsf algorithm texa ieee j scienc co lam h state architectur program oper professor career rang ph icdc multi electr cours inform vice csl mobil high integr member cs rostock file address creativ nasa laboratori shenoy depart utexa server info univers fax th bombay bound vin initi databas object diego april icmc main electrospac institut board imag ps disk taiwan washington beij center page network interest develop sponsor rao award applic goyal colorado vol email multimedia select b venkat design san june chair row mail march foundat distribut china csm rangan austin commun confer california inc usa lab sun ftc l workshop audio symposium scale comput electron contact hall toler li summari pasadena end cst nation edu engin tx system p
138	Course	Course	design fall page kehl cs found web home cse
139	Course	Course	wednesday grant class octob c also home code learn larri descript cover faster well pleas text majordomo machin use zpl join ut lectur document etc syntax algorithm run found scienc close credit web assum state program new modern dramat scientif e link staff perform rang debug none cours choi inform fast scientist g oct simplifi art sieg cs workstat subscrib remot guid fortran info materi supercomput parallel platform loop uw ad compil topic sung zp array page interest develop matlab syllabu variabl eun write releas quarter select elimin design mail distribut team languag send follow commun specif prototyp pm lab unix recompil loew audit comput easili reli suitabl relat snyder block index li user engin previous cse
140	Non-Course	Non-Course	architectur laru phone research languag wisconsin link wi home byte eric wind schnarr hockey descript madison usa tunnel page jim interest cs dragon ut comput function wisc street design depart li assist scienc univers edu dayton west
141	Non-Course	Non-Course	david young
142	Non-Course	Non-Course	valu initi program grant august dynam c languag produc data target detail perform code work section cost imper base spin loop offset uw compil inform exam eventu dataflow fast part student group machin washington use load time member cs paper ut describ comput approach relat pldi releas branch region project design li run pre info gener web edu patch system bound
143	Non-Course	Non-Course	research solid make base support lo acm cornel sal cdt method part techniqu use shapiro appli ut k manufactur coe algorithm scienc phd credit web spatial seek program new engin vadim wisconsin e professor career best jpg call http portrait help inform thursday cs address phenomena depart deal engr info univers fax present journal dept tel product r aspect object wi april jul madison uw need ms represent center page interest develop aid practic geometri vol browser wisc design model mail relationship graduat foundat search effort csg engineeringunivers contain languag univeristi mathemat term thu profil california lab algebra maintain mechan ongo ba l york includ comput chain index today space project current li nation edu collabor system cnc
144	Non-Course	Non-Course	wood microsoft data alt year home week watch learn taylor yahoo support weather corpor life map ut martin cyberdog robotlab softwar spent il texa scienc web client news program new school salon call onion dave ph alta period stone catch listen webster pound mean wrote cs cardiff mac dull game brian cliff depart fiction utexa road jeff info univers résumé chaput play sleep databas lisp annoy lyco site read dream phrase institut catalog represent paper movi email worst write b non mail appl brain austin chicago tour hang scheme hair symbol lab student robot comput hypertext odesta hall project version cool li tx edu system studi
145	Course	Course	phone wednesday research class zhu octob literatur intend larger avinash make aug week watch discuss macc cover well text doit use marvin must point sridhar schedul ut monday meet richard lectur document major consider result may algorithm room get scienc lee jordan assum simul news pang oper copi listen todd statist cours relev secur inform level jame less oct salmon grade thursday cs jim file address experiment nag public noon sit desk prasad info presen present structur zhang wang craig worth read solomon requir topic exam avaiabl hour textbook michael fall basney paper biswadeep theme email smaller write dec wisc design tr raman suggest sodani cao person equival taxiao mail distribut suffici provid wei term detail click thu review advanc munson list tuesday chen pm build standard done daili group time friday normal comput care space project sep offic li final summari semest total protect cst edu system
146	Course	Course	cpu program logic link organ home tour cours inform ps introduct page cs ut homework comput lectur linker guid smith brian project design li spec postscript assign info edu system procedur
147	Non-Course	Course	phone research wa home ucla pm ed tuth hour dive page cs ut phil email sail wisc current offic info appoint edu gener mail atkinson
148	Non-Course	Non-Course	finger research c austin best svkakkad call home storag work implement ph somerset hardwar kakkad taylor support v sheetal pleas swizzl inform standard way reach part group januari use center time page avail member cs ut address comput motorola email contact fault may hall design depart texa brief offic li utexa postscript see scienc info univers edu tx system mail oop
149	Non-Course	Non-Course	graduat distribut syu apt finger class china octob school check link austin classmat home ph www homepag weather tsinghua student use sale page art cs ut know address comput ustc h email contact voic today academi yu depart texa sci li internet utexa scienc univers edu ed th mail visitor
150	Non-Course	Non-Course	structur simul program display research class thrive oper data databas e optim summer masafumi java report site ie ii cornel lab inform sector techniqu use graphic introduct resum fall network polici cs ut polygon manag spring independ comput suzuki softwar multimedia browser revolut project design li nba model info web engin edu system
151	Non-Course	Non-Course	r output c bookmark e austin year term home click area ph nimar min look hi l arora page interest art ut know score h contact max number li get phd tx visitor
152	Non-Course	Non-Course	artifici li ut lab intellig laboratori
153	Course	Course	attend wednesday c data home work code discuss chapter teach cheng updat key use ut monday vega lectur ta algorithm tw comparison found assign scienc get stack jia web oop mwf program oper e link thur copi solut announc locat help f cours inform jame error jim cs jiacheng file appendix psycholog lec w info tabl materi reload structur r mon futur queue skrentni read compil topic exam hour ps forget tree adt problem introduct page analysi browser sol wisc makeup copyright skip search alloc stale binari handin bail list onlin kurt pm lab hash last unix time comput number offic li see end edu sampl
154	Non-Course	Non-Course	thing school year work keep think editor read anyhow center time mine press write arm li mess publish letter
155	Non-Course	Non-Course	henzing tom
156	Non-Course	Non-Course	kevin hinshaw page home
157	Non-Course	Non-Course	yu feng
158	Non-Course	Non-Course	krzysztof stop number thank cs c lab info inform zmudzinski poland pictur student visitor son
159	Non-Course	Non-Course	program research c logic austin home main onlin nonmonoton mccain postal usa ms student ba baker norm vladimir page interest cs paper ut comput lifschitz vita u contact tay texa commonsens expect offic li causal utexa postscript colleg scienc phd univers edu fax tx natur
160	Non-Course	Non-Course	phone research c kodukula data work base richter support siam architecur well acm prema cornel method machin map ut k softwar ithaca algorithm toolkit room j scienc co nikosc h state simul program scientif e pingali hu ph ny f g load cs master spring pp public vineet depart environ mimd gener univers fax watson th brunswick sensit ahuja r parallel wang vii april purdu field menu amr al ii institut compil yang ed rice ps problem center page paper domain colorado vol design niko june adapt model thompson joe foundat distribut nj advanc v lab student l n workshop et includ symposium pde fox comput dr bernoulli hall project current li end fluid nation edu engin theori system p
161	Course	Course	r buse program initi parallel cachecoh cach pentium c net thorsten check start split home perform tomasulo thread msgpass report mpi von pleas cours technolog idea inform mpp case maintain propos machin use high page cs paper ut pred eicken spring homework io comput scoreboard lock sp spam u project atm superscalar find li br sort info sampl materi system intro emd
162	Non-Course	Non-Course	washington research ut comput univers mobil
163	Non-Course	Non-Course	thing data construct burger year volunt also home storag guy week work wiss pay star everi reviv way part fun use appli meet ut occur softwar except tyger run administr scienc william get enjoy web architect david new news notic school oper wisconsin visit call dave implement solut gate help inform tiger though thursday cs hau address experiment geograph game depart fiction road server chang info univers moon apr play uwvax parallel sleep forth databas wi label www site read degre madison uw control imag type page famou develop word roll pub poem tue wisc design util shore model oql campu aircraft usenet sql provid sublim bolo railroad follow hacker dewitt friend store take usa lab sun unix rather last whatev time tell semi comput care woodwork relat josef project old hand oddbal beer world li number user cst edu engin system
164	Non-Course	Non-Course	wa year omid home work madani keep chateau citi uw ya box washington page cs ut countri comput ai browser b depart li see scienc enjoy univers edu engin theori
165	Non-Course	Non-Course	posnak ed
166	Course	Course	class contain offer link vii aug iii explor home x follow note nov deboor none v f ii well cours iv doit due inform hour oct numer time fall page cs concern carl homework lectur math email analysi relat stat dec wisc index version depart current sep offic li vi assign w chang info edu mail mwf
167	Non-Course	Non-Course	thing wa move traci year detail return help institut usa captor sinc box washington cs tracyk ut comput vita depart li scienc plight end statement univers edu engin
168	Non-Course	Non-Course	daniela page home
169	Non-Course	Non-Course	finger check austin make work ph bookshelf verifc shaob student fall network cs ut shma know comput vlsi contact project depart texa final utexa scienc univers edu tx valley
170	Course	Course	output attend holiday scalapack class data midkiff home cyclic ruth discuss jason brad majordomo cse seminar ut monday cooper pldi cross bordawekar program oper e zhou adv integer complex perform hope choi cs set subscrib lcpc environ parallel padua ppopp sean al loop read date iv compil sung ramkumar presentor page matlab pc paper driven eun quarter model mail distribut send tuesday core gupta pm lab fahring et reed loew sc comput blumof runtim block snyder li septemb edu system cilk
171	Non-Course	Non-Course	search parallel nervou research wa c rout speed brain professor photo make associ visit home signific eat work rock electr kwb teach spend take life usa sea part group box spu washington map time anoth page cs paper ut previou chaotic comput depart current find coral li non get scienc see lan univers edu engin explain system kevin
172	Course	Course	illeg wednesday research class data construct benjamin entir home x week work latex summer learn chapter base teach cover text cornel way due bill part principl use amit schedul ut mcgraw amith aguilera homework silberschatz cluster document concept ta instructor hill get scienc sort credit first marco vector link roughli textual process solut ullman cours inform peopl larg perot prerequisit salton grade member cs thursday file set spring know receiv press yamasani depart break fundament prelim knowledg info univers materi databas five april note one read phrase upson date control topic bob exam hour type ps introduct page avail spg paper domain queri clearli singhal write b design want find model late mail march relationship name recommend sql languag elmasri weight send reserv term feedback retriev follow advanc submit accept exampl submiss tuesday crash return edit minut pm algebra hard hash third group ross time polici includ smart comput refer relat index space book offic li semest see edu system thesauru
173	Non-Course	Non-Course	ny apt august cs offic k address ithaca cornel univers edu home vsm th fax vijay menon hall
174	Course	Course	microsoft program phone hummert sid misconduct c languag oper object rm home borland section walter nov savitch statist cours text compil lab due inform hour ps fri textbook window problem introduct page grade thursday cs ut monday mosaic comput email psych softwar instructor contact wisc offic li lec assign scienc day info edu system mail mwf
175	Non-Course	Non-Course	research class data construct home work typic pleas part metadata use ut k lectur transform approach breadth softwar texa run get web program utc professor e visit perform refin mani ph period tokuda inform g defin member cs file reflect ssgrg avion utexa postscript jeff titl info gener product databas check start genvoca note read pattern ps page develop feel paper domain overview design model march relationship distribut contain term bart thu order follow tar take lab algebra welcom batori group time includ manag sc scale comput relat contact index project sep li compress edu engin system p
176	Non-Course	Non-Course	distribut august china wei bookmark professor year home weichen work ph membership ny academ chen degre upson cornel tsinghua ps group student spare time page network interest cs ut comput detect ithaca hall fault algorithm depart soccer nba scienc univers edu bachelor system
177	Course	Course	execut program automat research class languag literatur lisp home kind specif learn consist read cover cours latter compil given lab level part use problem introduct match cs paper ut long homework lectur syllabu ordinari hand li semest assign orient gener materi bibliographi system
178	Non-Course	Non-Course	topic interest
179	Non-Course	Non-Course	program distribut parallel search apt ethernet wide show c data databas bs screen home st http implement www wfinger ny global pelenur teach platform upson compil cornel sun fast summit ps demand emilio use horu center motion page network recent develop cs paper ut comput document commerci write ithaca fault may hall project toolkit current atm design world offic li assist compress administr scienc server univers web engin theori system edu fax julian color
180	Non-Course	Non-Course	ny depart nikolay cs li ut upson scienc ithaca comput cornel univers edu mateev ps juli hall
181	Non-Course	Non-Course	jia page wang home
182	Course	Course	search class question intellig staff kushmericknick weldweld artifici resourc learn read cours outlin build topic dan exam hour represent machin messag friedmanfriedman page fall sieg cs ut address comput ai agent quarter select index marc li depth assign scienc see mail cse tba
183	Non-Course	Non-Course	page deyu home
184	Non-Course	Non-Course	c gallagh suzi
185	Course	Course	theorem graph research other year dvi home work latex code connect uniform think base teach cover text due matrix machin use meet ut homework richard lectur major chose approach pertain consider instructor result may algorithm howev anderson assign get progress program e tth section half cost cours special inform either fast consid art sieg cs thursday address spring nice content comment mix info gener correct supercomput parallel access start april note ja choic al could requir look topic exam log hour influenc catalog ps interconnect manuscript washington problem introduct interest develop paper feel union syllabu write select design find sens non model smpc would mail contain term follow ram emphasi energi list tuesday plu taught lab time et uninterest comput happi relat project number mayb offic li see edu theori flexibl p cse
186	Course	Course	contribut microsoft holiday phone wednesday ask research class octob show intend make cheat home week work code four learn pay think modem base descript cover everi well text way due part particular pointer machin use techniqu point ut monday anyth lectur go major fail etc softwar syntax instructor except algorithm howev via room run tick assign scienc get outsid respond credit web noland assum weekli mwf matter program school question consult e rm approxim risk st good http solut section tri help statist f cours relev keyword vectra inform either test messag understand solv cs prior know address fortran wait depart night programm primarili import w discov knowledg jeff info th structur finger simpl misconduct friedman check start cae come note www one elementari menu worth relief read board compil topic koffman exam dorm ms hour textbook problem quota introduct page experi interest basic disturb instruct syllabu write wisc printer non packard login hewlett exercis dayton mail campu name open search wide languag contain html emerg send click follow configur specif onlin print edit pm taught lab done avoid student window time friday includ normal comput gradesheet contact lampert hall hand dilbert world offic li littl see end edu engin
187	Course	Course	microsoft phone wednesday class data home work hui teach yahoo intel ibm doit mother machin use suhui abandon excel map su ashraf ut monday rehnuma ta softwar origin ratliff instructor teitelbaum fink tourist get scienc web news professor wisconsin e link section announc kelli geeri cours account jame leav grade cs set address wf chiang depart tsioli w univers dept jyothi aboulnaga r databas cae explor paragraph site read madison uw control ed exam compani hour ben fall page enorm match email wisc without find tr desautel packard agupta hewlett mail name search differ provid send click borland follow list bockrath return gupta mf maintain window time rahman jherro jfink mw comput cool world offic li semest end edu keyword
188	Non-Course	Non-Course	place e photo invit send visit home nuprl work java learn take tire welcom page art rest game project world pavel mail play
189	Non-Course	Non-Course	li julia page home
190	Non-Course	Non-Course	two program page fall todd cs teach plug contain wealth uw sinc mathemat info inform home section homepag
191	Non-Course	Non-Course	name graduat program ratan wa school love vivek html e leveson jon work java bauer uc academ kurt preview uw usa way inform fun student box washington use page recent interest seattl cs human ut includ describ comput safeti nasa softwar b kepart design depart li user postscript scienc humor ohlrich cad info univers web engin edu interact heimdahl fax berkeley diagram background
192	Course	Course	begin avl town learn cchin base pleas must away point header go document major ta except download algorithm room run valu news size best copi visit solut capabl account form classnam previou app girl chang univers correct color www menu midterm date topic log type carrano develop email appear max find sunday dayton mail name wei html specif tuesday pm readi unix window polici book offic li septemb statement studi output attend graph wednesday class show data make also frank teach well machin session schedul ut obey monday homework lectur pr howev vi goal assign scienc format state question count st section period inform mean load tang profici file cycl id gener bound product classwork aspect zhang input label one give situat read loop birthday compil need superfici introduct fall interest stodder goto wisc design assig skip easi graduat contain languag send order follow gdb accept list dewitt later sever avoid includ comput index extern semest end edu tba thing c handout construct home week work incorpor summer four think descript text use etc spent street j get respond david e http debug statist mention g clariti prerequisit unawar understand jim facet know fortran depart break desk w info materi place ioannidi five field hour govern problem experi choos paper extra write floor would late search suffici bring weight detail femal scheme demonstr edit taught int build talk student becom friday easili project sci see intern phone isbn addit suzan comp chin cheat code cover doit convey due way key grad inputfil consider absolut instructor may program suppli ghostview chemistri call announc express help f cours weiz structuresfal test level yanni anoth grade thursday cs address function women wait necessari present th possibl logic photo entranc note activ madison style uw requir hint exam opaqu page avail handl bug scout nd let take min lab modular top hash group time robust tell behav still pascal electron contact trip user system
193	Course	Course	distribut simpl aspect size offer link progress signific vogel work complex rang descript take cours inform internetwork hour varieti student use page network interest develop cs choos ut basic instruct go practic content project hand design find comment li get practicum werner info tabl web interact credit system earn studi offcial
194	Non-Course	Non-Course	locat page inc server person home walbourn web chuck
195	Non-Course	Non-Course	hu lan ching
196	Non-Course	Non-Course	phone born c linear dvi home x work code teach weather way particular box machin tex ut honor softwar berg algorithm comparison expect run scienc phd bachelor format bloomington state program apt utc school implement solut stefan inform g printf sieg cs address spring u postscript info univers fax th germani char finger wa bookmark field byte activ ne date compil washington page interest sgberg email pictur b gcc qual mail ch contain complet moment share print return past v indiana unit time comput north fals hall project current li see edu studi cse
197	Course	Course	winter ask research class c cecil handout year home week use elim meet ut homework lectur document ta etc cfg instructor found assign web idfa format program rtl implement solut f cours test inform dead sieg cs file vortex postscript import w info th craig read compil exam hour washington page interest tutori avail quarter sent fr mail languag html leon vass chamber list front meb standard time includ refer frame offic li end edu sampl cse
198	Non-Course	Non-Course	campu tel graduat microsoft news sigir class china music languag e link austin luxu sigcomm home work area univ www hunt siggraph com site weather acm institut sigmod inform compani tsinghua studi addr page network dept cs ut comput lu h ta contact depart texa cool thank li ieee xue utexa jan live scienc info univers edu tx system mail buy
199	Non-Course	Non-Course	research wa home half softbal segal softbot box washington page cs ut richard comput overview vita pictur depart li postscript scienc univers edu engin
200	Non-Course	Non-Course	phone research c languag data wisconsin databas link wi home click satish chandra v madison usa log g york time page interest altavista cs ut movi italian comput wisc street depart li summari assist nostalgia see scienc univers edu p dayton cultur west
201	Course	Non-Course	cs page cse home
202	Non-Course	Non-Course	page jignesh home
203	Non-Course	Non-Course	research net technic show c cm australia aug code connect mpi think base support pleas well acm ibm cornel grzegorz flow part alto machin use gold schedul ut k eicken document throughput softwar comparison ieee progress symp ring paragon architectur state program pittsburgh oper e round mb perform ph cost aix lib f von inform fast level feb messag phase art cs file risc know u vineet z brief culler chang info univers th parallel access thorsten goldstein split meiko pa activ site read ii overlap compil control exam mpp interconnect page network interest develop paper word poe palo czajkowski instruct design find bandwidth model berkeley coast chao tb distribut languag buffer send order detail click let commun focus tar prototyp california int sun top talk standard avula l coordin time becom includ scale comput processor sp micro pass contact block project trip atm li spec user see basu end edu system packag hpam
204	Non-Course	Non-Course	mukherje shubu page home
205	Course	Course	wednesday ask class data handout make home joint week work local java two imper learn think base teach cover well cornel way due wherea simpli onto machin use techniqu password memori voskuhl meet ut happen monday random lectur go major concept score ta chosen download algorithm run goal quicksort assign scienc credit web state matter program modern consult oper professor e staff evalu good paradigm implement solut rang period half express http catch hardcopi help f cours capabl justin dan inform either g jame grade thursday cs recurs id public mac depart immedi break sit environ prelim server orient chang info correct materi midnight dynam access check mutabl object introductori come www one site read upson requir date compil topic exam pattern hour type ps textbook problem introduct earli page fall develop match pc word applic skill clearli email write browser b want model person background late exercis mail reach free appl name transfer august contain languag provid send order thu complet borland follow inherit submit accept exampl focus tuesday return take pm szewczyk symbol lab arithmet growth robert window time polici tell ho comput facil electron hand number current offic li conot final dylan user see total held edu system studi tba
206	Non-Course	Non-Course	phone research net data warn home work base support endow industri competit sigmod naughton amit ut mdd utah cooper softwar il run scienc phd bachelor program council oper wisconsin link st perform ny sourc help f technolog inform larg cs master infrastructur trier mumbai princeton prasad postscript server jeff info univers bombay dept protocol initi wa bookmark logic databas wi activ madison consortium date institut ps page network interest paper madra email multimedia dec wisc person olap bibliographi mail reach name marathon jeffrey boston chicago nd confer onlin articl garfield york comput karthikeyan relat asha offic li spec intern edu engin nation system
207	Course	Course	wood david attend phone wednesday class wisconsin bart april call thu follow week perform java discuss pei madison miron requir imag secur seminar hour time jim cs schedul ut file monday friday spring miller comput lectur livni overview email pictur noon instructor wisc februari written depart break bach offic li internet jan assign scienc client chang cao server cst univers web edu system mail march
208	Non-Course	Non-Course	research class c bs year home head haizhou taylor acm ut martin algorithm texa room ieee jan scienc cad h news hai size professor e zhou visit staff st complex optim ph period homepag jose f inform cs river vlsi depart utexa w info univers compuer th r logic www institut ms tsinghua amir page interest zhao aid israel design find san non model mail alan campu search china austin mathemat focus confer chen sinc student group bulletin comput contact hall number li tx edu engin p
209	Non-Course	Non-Course	winter research wa school oper link vii aug scalabl home st perform work x summer chateau guitar baer lab student box washington use page network interest recent cs jim ut includ thekkath paper voelker comput otter th hall project romer depart room bershad atm offic li cambridg tcp trees lee scienc nw etch alec univers edu engin system wolman play
210	Course	Course	research class intend make second two discuss macc cover well text doit use point schedul ut lectur document major particip etc assign scienc first buy oper count perform implement solut cours relev secur involv grade thursday cs file variou spring experiment desk info present report read requir topic exam linux hour problem choos paper suno theme design suggest appoint distribut team detail review advanc list tuesday prototyp compon pm propos window includ comput hall project hand instead offic li summari total protect edu engin system
211	Non-Course	Non-Course	c work walk base support descript flow box machin zpl line ut concept acknowledg etc via run scienc web program new scientif help f inform fast direct scientist peopl level member cs fortran depart prone chang info univers modifi parallel wa check autumn higher futur loop uw compil control washington zp introduct paper conclus overview write browser region without find would languag detail usa group small comput shorter suitabl relat index project ideal li edu engin sampl cse
212	Non-Course	Non-Course	program research c logic link austin home msc main onlin nonmonoton draft librari postal usa inform student ba represent vladimir page interest avail cs paper ut comput lifschitz vita turner u contact tay hudson texa commonsens expect offic li causal utexa postscript colleg scienc phd info univers edu fax tx natur
213	Course	Course	contribut microsoft holiday phone wednesday ask research class show intend make cheat home week work code learn think base modem descript cover everi well text way due particular pointer techniqu use must point ut monday anyth lectur mid major fail go score etc softwar syntax instructor except algorithm februari howev via room run assign scienc get outsid web weekli mwf matter program question consult seven projector e rm approxim risk st perform good http section solut tri three help statist f cours relev keyword vectra inform mean messag understand grade cs id fortran wait depart night programm psycholog primarili import w discov info th structur finger mon misconduct friedman start cae april come pg www menu relief worth read board compil topic koffman exam dorm ms hour ps fri textbook problem page interest disturb dissert write wisc printer non packard login appoint hewlett exercis dayton bestor mail campu name open search elig wide languag contain html zero emerg bring term send handin click follow specif onlin edit pm taught lab algebra gareth avoid window time friday includ normal comput gradesheet pass contact hall project hand current dilbert world offic li final curv see end edu engin
214	Non-Course	Non-Course	architectur r program parallel research stamm speed joel e check workload order affair home perform work jack pa submit list hank lo uw compil simultan lab conduct fast level maintain rebecca unit rd fetch context l washington use problem page jlo microprocessor cs workshop ut smt chip face symposium comput processor overview still philadelphia throughput stanford today tullsen project susan dean multithread li june postscript j santa edu p h
215	Course	Course	winter class c offer item home summer code work think updat use raini earlier ut bounti martin homework lectur document major handbook may run assign scienc credit web program new link staff solut miscellan preview help cours test inform slide static messag especi art cs previou spring mac hypermedia depart comment engr info univers check autumn keep menu activ tompa midterm degre board exam hour textbook washington problem ben page avail match word syllabu quarter demo find webmast copyright mail search wide contain send click tip mind nonprofit short take balloon lab welcom bulletin time comput relat world offic li final see edu engin cse
216	Non-Course	Non-Course	l karen karavan
217	Non-Course	Non-Course	campu news program search entertain phone research languag bookmark professor tk e austin career send home tour ph giant java liu exampl taylor site yahoo acm inform exam unix last hi rosett student group hqliu center page cs meet ut martin address mosaic comput guid email perl chines vlsi contact huiqun societi wong design depart texa world li internet ieee utexa scienc cad info univers web edu tx tcl mail
218	Course	Course	foundat program coq class bowen chief differ logic html e lego make plain order april good phl nuprl mani sawada exampl report taylor qed support hope help nelson examin base cours pair text test exam algebra method g type tool backup samuel use page cs ut includ spring comput specifi oral otter approach instructor select prover project via number world li formal ruben manifesto boyer assign galoi interact web edu theori system blurb
